question_id,level,module,section,question_text,required,condition_json,answer_type,allowed_values,default_value,target_files,target_fields,transform_hint,priority,notes
SEO_ALLOWED_SOURCES,website,seo_setup,policies,Wenn ja: erlaubte Source-Domains (comma-separated),yes,"{""qid"": ""SEO_ALLOW_EXTERNAL_SOURCES"", ""op"": ""eq"", ""value"": ""yes""}",text,,,01_project_config.csv,allowed_source_domains,upsert_kv,86,Optional allowlist.
SEO_SEMRUSH_IMPORT,website,seo_setup,imports,SEMrush CSV Import vorhanden? (Keywords/Pages),yes,,single_select,yes|no,yes,01_project_config.csv,semrush_import_available,upsert_kv,88,"Manuell hochladen, System importiert."
INTL_ENABLED,website,international,enable,International SEO aktiv? (Mehrere Sprachen/Regionen),yes,"{""any"": [{""qid"": ""WS_LANGUAGES"", ""op"": ""contains"", ""value"": ""en""}, {""qid"": ""WS_REGIONS"", ""op"": ""not_eq"", ""value"": ""default""}]}",single_select,yes|no,yes,01_project_config.csv,international_seo_enabled,upsert_kv,90,Steuert Aktivierung Pack.
INTL_TRANSLATION_STRATEGY,website,international,strategy,Übersetzung vs Lokalisierung: 1:1 übersetzen oder anpassen?,yes,"{""qid"": ""INTL_ENABLED"", ""op"": ""eq"", ""value"": ""yes""}",single_select,translate_1to1|localize|mixed,mixed,01_project_config.csv,translation_strategy,upsert_kv,92,Hilft beim Briefing.
INTL_TERMS_GLOSSARY,website,international,strategy,Gibt es ein Glossar/Terminologie pro Sprache?,yes,"{""qid"": ""INTL_ENABLED"", ""op"": ""eq"", ""value"": ""yes""}",single_select,yes|no,no,01_project_config.csv,has_glossary,upsert_kv,94,"Wenn ja, später glossary file."
INTL_HREFLANG_STRICT,website,international,tech,Hreflang strikt erzwingen (fehlende Paare = FAIL)?,yes,"{""qid"": ""INTL_ENABLED"", ""op"": ""eq"", ""value"": ""yes""}",single_select,yes|no,yes,01_project_config.csv,hreflang_strict,upsert_kv,96,Bindet an international_seo pack thresholds.
LOCAL_HAS_LOCATIONS,website,local,enable,Hat das Unternehmen physische Standorte?,yes,,single_select,yes|no,no,01_project_config.csv,has_locations,upsert_kv,100,"Wenn ja, Local SEO + Entities/NAP wichtig."
LOCAL_LOCATIONS_LIST,website,local,locations,Liste der Standorte (Name + Adresse + Phone),yes,"{""qid"": ""LOCAL_HAS_LOCATIONS"", ""op"": ""eq"", ""value"": ""yes""}",text,,,03_entity_catalog.csv,address|phone,to_location_entities,102,Dev mappt zu entity rows.
LOCAL_SERVICE_AREAS,website,local,locations,"Service Areas (Städte/Regionen), comma-separated",yes,"{""qid"": ""LOCAL_HAS_LOCATIONS"", ""op"": ""eq"", ""value"": ""yes""}",text,,,01_project_config.csv,service_areas,upsert_kv,104,Für Local Landing Planung.
LOCAL_GBP_URLS,website,local,locations,"Google Business Profile URL(s), comma-separated",yes,"{""qid"": ""LOCAL_HAS_LOCATIONS"", ""op"": ""eq"", ""value"": ""yes""}",text,,,01_project_config.csv,gbp_urls,upsert_kv,106,Optional.
LOCAL_LOCATION_PAGES,website,local,strategy,Sollen Location Pages erstellt werden? (Hub + Einzelpages),yes,"{""qid"": ""LOCAL_HAS_LOCATIONS"", ""op"": ""eq"", ""value"": ""yes""}",single_select,yes|no,yes,01_project_config.csv,use_location_pages,upsert_kv,108,Aktiviert local_landing page_type Plan.
ECOM_ENABLED,website,ecommerce,enable,Ist es ein Shop/Catalog (E-Commerce)?,yes,,single_select,yes|no,no,01_project_config.csv,is_ecommerce,upsert_kv,120,Aktiviert ecommerce option pack bei Product/Category.
ECOM_CURRENCY,website,ecommerce,settings,"Währung (z.B. EUR, USD)",yes,"{""qid"": ""ECOM_ENABLED"", ""op"": ""eq"", ""value"": ""yes""}",text,,EUR,01_project_config.csv,currency,upsert_kv,122,Für Product/Price Display.
ECOM_SHIPPING_RETURNS,website,ecommerce,settings,Shipping/Returns Kurzinfos (falls relevant),yes,"{""qid"": ""ECOM_ENABLED"", ""op"": ""eq"", ""value"": ""yes""}",text,,,01_project_config.csv,shipping_returns_notes,upsert_kv,124,Für trust & compliance.
PG_PAGE_ID,page,page_setup,identity,Page ID (eindeutig),yes,,text,,,11_pagespec.csv,page_id,,200,Naming: de_service_seo-beratung etc.
PG_PAGE_TYPE,page,page_setup,identity,Page Type?,yes,,single_select,homepage|about_page|contact_page|service_page|blog_guide|category_page|product_page|local_landing|faq_page|comparison_page|docs_page,service_page,11_pagespec.csv,page_type,,202,Steuert Blueprint + Rule activation.
PG_LANGUAGE,page,page_setup,identity,Sprache dieser Seite?,yes,,single_select,de|en,de,11_pagespec.csv,language,,204,Wenn Website multilingual: pro Seite setzen.
PG_REGION,page,page_setup,identity,Region dieser Seite (default oder Land/Market),yes,,text,,default,11_pagespec.csv,region,,206,Optional.
PG_TARGET_URL,page,page_setup,identity,"Ziel-URL (optional, falls schon geplant)",yes,,text,,,11_pagespec.csv,target_url,,208,Wenn leer: slug wird generiert.
PG_INTENT,page,page_setup,seo,Search Intent?,yes,,single_select,informational|commercial|transactional|navigational,commercial,11_pagespec.csv,intent,,210,Steuert CTA + Struktur.
PG_PRIMARY_KEYWORD,page,page_setup,seo,Primary Keyword,yes,,text,,,11_pagespec.csv,primary_keyword,,212,Pflicht für Content.
PG_SECONDARY_KEYWORDS,page,page_setup,seo,Secondary Keywords (comma-separated),yes,,text,,,11_pagespec.csv,secondary_keywords,split_comma,214,"Optional, aber empfohlen."
PG_CLUSTER_ID,page,page_setup,seo,Keyword Cluster ID (wenn vorhanden),yes,,text,,,10_page_map.csv;11_pagespec.csv,cluster_id;cluster_id,,216,Optional; für große Projekte sinnvoll.
PG_AUDIENCE,page,page_setup,audience,Zielgruppe (1 Satz),yes,,text,,,11_pagespec.csv,audience,,218,ICP/Persona kurz.
PG_AWARENESS_STAGE,page,page_setup,audience,Awareness Stage,yes,,single_select,unaware|problem_aware|solution_aware|product_aware|most_aware,solution_aware,11_pagespec.csv,awareness_stage,,220,Optional.
PG_OFFER_ID,page,page_setup,offer,Welche Leistung/Offer (offer_id) ist die Seite zugeordnet?,yes,,text,,,11_pagespec.csv,offer_id,,222,Bindet CTA/Proof an die Seite.
PG_USPS,page,page_setup,offer,Seiten-spezifische USPs (falls abweichend),yes,,text,,,11_pagespec.csv,usps,split_comma,224,Optional.
PG_PROOF,page,page_setup,proof,Seiten-spezifische Proof Assets (comma-separated),yes,,text,,,11_pagespec.csv,proof_assets,split_comma,226,Optional.
PG_PRIMARY_CTA,page,page_setup,cta,Primary CTA (überschreibt default),yes,,text,,,11_pagespec.csv,primary_cta,,228,Optional override.
PG_SECONDARY_CTA,page,page_setup,cta,Secondary CTA (override),yes,,text,,,11_pagespec.csv,secondary_cta,,230,Optional override.
PG_MUST_INCLUDE,page,page_setup,constraints,Must-Include Punkte (bullet list),yes,,text,,,11_pagespec.csv,must_include_points,split_lines,232,Optional; ideal für Perfektion.
PG_MUST_AVOID,page,page_setup,constraints,Must-Avoid Punkte (bullet list),yes,,text,,,11_pagespec.csv,must_avoid_points,split_lines,234,Optional.
PG_INTERNAL_LINK_TARGETS,page,page_setup,links,"Interne Link-Ziele (page_ids oder URLs), comma-separated",yes,,text,,,11_pagespec.csv,internal_links_out,split_comma,236,Optional; internal_linking pack kann Slots erzwingen.
PG_FAQ_QUESTIONS,page,page_setup,content,FAQ Fragen (comma-separated),yes,,text,,,11_pagespec.csv,faq_questions,split_comma,238,Optional; manche PageTypes erzwingen FAQ.
PG_SOURCE_URLS,page,page_setup,sources,Quellen/Material URLs (comma-separated),yes,"{""qid"": ""SEO_ALLOW_EXTERNAL_SOURCES"", ""op"": ""eq"", ""value"": ""yes""}",text,,,11_pagespec.csv,source_material_urls,split_comma,240,Nur wenn Quellen erlaubt.
PG_LOCAL_CITY,page,local,page_specific,Wenn local_landing: Stadt/Region,yes,"{""qid"": ""PG_PAGE_TYPE"", ""op"": ""eq"", ""value"": ""local_landing""}",text,,,11_pagespec.csv,city_relevance,,250,Optional field (dev mapping).
PG_ECOM_PRODUCT_ID,page,ecommerce,page_specific,Wenn product_page: Produkt-ID/SKU (falls vorhanden),yes,"{""qid"": ""PG_PAGE_TYPE"", ""op"": ""eq"", ""value"": ""product_page""}",text,,,11_pagespec.csv,product_id,,260,Optional mapping.
