topic_id,area,area_name,topic_name,edge_optional,scope,page_types,status,supersedes_topic_id,doc_md_path,rules_csv_path,qa_rules_csv_path,prompt_fragment_path,config_paths,code_modules,owner,review_cycle_days,notes
a-docs-update-monitoring,A,Strategy & Governance,"Monitoring von Suchmaschinen-Doku/Policy Updates (Prozess, RSS/Changelog)",no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-docs-update-monitoring/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-docs-update-monitoring/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-docs-update-monitoring/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-docs-update-monitoring/v1/prompt_fragment.md,,,operator,180,
a-surface-strategy,A,Strategy & Governance,Search-Surface Strategie (Web/Discover/News/Video/Image),yes,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-surface-strategy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-surface-strategy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-surface-strategy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/a-surface-strategy/v1/prompt_fragment.md,,,operator,180,
b-robots-txt,B,Technical SEO Foundations,robots.txt System (Regeln + Testcases),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-robots-txt/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-robots-txt/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-robots-txt/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-robots-txt/v1/prompt_fragment.md,,,operator,180,
b-meta-robots-xrobots,B,Technical SEO Foundations,Meta Robots & X-Robots-Tag Policy,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-meta-robots-xrobots/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-meta-robots-xrobots/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-meta-robots-xrobots/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-meta-robots-xrobots/v1/prompt_fragment.md,,,operator,180,
b-canonical-rules,B,Technical SEO Foundations,Canonicalization Rules (Duplicate Control),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-canonical-rules/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-canonical-rules/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-canonical-rules/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-canonical-rules/v1/prompt_fragment.md,,,operator,180,
b-rendering-strategy,B,Technical SEO Foundations,Rendering Strategy (SSR/CSR/JS),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-rendering-strategy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-rendering-strategy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-rendering-strategy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-rendering-strategy/v1/prompt_fragment.md,,,operator,180,
b-js-links,B,Technical SEO Foundations,JS-Link Extraction & Crawlability Checks,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-js-links/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-js-links/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-js-links/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-js-links/v1/prompt_fragment.md,,,operator,180,
b-status-policy,B,Technical SEO Foundations,Status Code & Redirect Policy,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-status-policy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-status-policy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-status-policy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-status-policy/v1/prompt_fragment.md,,,operator,180,
b-redirect-map,B,Technical SEO Foundations,Redirect Mapping (Migration/Pruning),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-redirect-map/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-redirect-map/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-redirect-map/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-redirect-map/v1/prompt_fragment.md,,,operator,180,
b-sitemap-strategy,B,Technical SEO Foundations,Sitemap Strategy (Index + Child Sitemaps),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-sitemap-strategy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-sitemap-strategy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-sitemap-strategy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-sitemap-strategy/v1/prompt_fragment.md,,,operator,180,
b-logfile-seo,B,Technical SEO Foundations,Log File SEO & Crawl Budget Monitoring,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-logfile-seo/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-logfile-seo/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-logfile-seo/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-logfile-seo/v1/prompt_fragment.md,,,operator,180,
b-site-migration-playbook,B,Technical SEO Foundations,Site Migration/Relaunch Playbook (Pre/During/Post),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-site-migration-playbook/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-site-migration-playbook/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-site-migration-playbook/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-site-migration-playbook/v1/prompt_fragment.md,,,operator,180,
b-hreflang-geo-redirect-policy,B,Technical SEO Foundations,Geo-Redirect/Language Switch Policy (hreflang-safe),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hreflang-geo-redirect-policy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hreflang-geo-redirect-policy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hreflang-geo-redirect-policy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hreflang-geo-redirect-policy/v1/prompt_fragment.md,,,operator,180,
b-hack-spam-hardening,B,Technical SEO Foundations,Hack-Spam/Malware Hardening (Security→Index Impact),yes,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hack-spam-hardening/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hack-spam-hardening/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hack-spam-hardening/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-hack-spam-hardening/v1/prompt_fragment.md,,,operator,180,
b-crawl-trap-detection,B,Technical SEO Foundations,"Crawl Traps Detection (Filter, Kalender, interne Suche, Infinite Spaces)",no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-crawl-trap-detection/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-crawl-trap-detection/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-crawl-trap-detection/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/b-crawl-trap-detection/v1/prompt_fragment.md,,,operator,180,
c-taxonomy-spec,C,Content Architecture & IA,Taxonomy Spec (Kategorien/Tags/Entities),no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-taxonomy-spec/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-taxonomy-spec/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-taxonomy-spec/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-taxonomy-spec/v1/prompt_fragment.md,,,operator,180,
c-hub-spoke,C,Content Architecture & IA,Hub/Spoke Cluster Blueprint,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-hub-spoke/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-hub-spoke/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-hub-spoke/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-hub-spoke/v1/prompt_fragment.md,,,operator,180,
c-nav-breadcrumbs,C,Content Architecture & IA,Navigation & Breadcrumb System,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-nav-breadcrumbs/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-nav-breadcrumbs/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-nav-breadcrumbs/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-nav-breadcrumbs/v1/prompt_fragment.md,,,operator,180,
c-pagination-facets,C,Content Architecture & IA,Pagination & Faceted Navigation Policy,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-pagination-facets/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-pagination-facets/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-pagination-facets/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-pagination-facets/v1/prompt_fragment.md,,,operator,180,
c-template-inventory,C,Content Architecture & IA,Template Inventory & Slot-Regeln,no,global,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-template-inventory/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-template-inventory/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-template-inventory/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/c-template-inventory/v1/prompt_fragment.md,,,operator,180,
d-keyword-research,D,Keyword/Intent/Entity Systems,Keyword Research System (Seed → Expand → Qualify),no,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-research/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-research/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-research/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-research/v1/prompt_fragment.md,,,operator,180,
d-serp-features,D,Keyword/Intent/Entity Systems,SERP Feature Mapping (Rich Results/Features),no,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-serp-features/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-serp-features/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-serp-features/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-serp-features/v1/prompt_fragment.md,,,operator,180,
d-clustering-rules,D,Keyword/Intent/Entity Systems,Keyword Clustering Rules,no,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-clustering-rules/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-clustering-rules/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-clustering-rules/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-clustering-rules/v1/prompt_fragment.md,,,operator,180,
d-keyword-url-map,D,Keyword/Intent/Entity Systems,Keyword→URL Mapping (Cannibalization Guardrails),no,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-url-map/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-url-map/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-url-map/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-keyword-url-map/v1/prompt_fragment.md,,,operator,180,
d-entity-graph,D,Keyword/Intent/Entity Systems,Entity Graph & Semantik-System,no,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-entity-graph/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-entity-graph/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-entity-graph/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-entity-graph/v1/prompt_fragment.md,,,operator,180,
d-search-surface-mapping,D,Keyword/Intent/Entity Systems,Keyword→Surface Mapping (Web vs Video/Image/Discover),yes,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-search-surface-mapping/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-search-surface-mapping/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-search-surface-mapping/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-search-surface-mapping/v1/prompt_fragment.md,,,operator,180,
d-brand-serp-ownership,D,Keyword/Intent/Entity Systems,"Brand-SERP Ownership (Brand Queries, Sitelinks, Knowledge-Ecosystem)",yes,global+tenant,sitewide,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-brand-serp-ownership/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-brand-serp-ownership/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-brand-serp-ownership/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/d-brand-serp-ownership/v1/prompt_fragment.md,,,operator,180,
e-content-brief,E,On-Page Content Production,Content Brief Template (data-first),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-brief/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-brief/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-brief/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-brief/v1/prompt_fragment.md,,,operator,180,
e-outline-rules,E,On-Page Content Production,Outline & Section Rules (H-Struktur),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-outline-rules/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-outline-rules/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-outline-rules/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-outline-rules/v1/prompt_fragment.md,,,operator,180,
e-editorial-policy,E,On-Page Content Production,Editorial Policy & Author System (E-E-A-T),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-editorial-policy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-editorial-policy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-editorial-policy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-editorial-policy/v1/prompt_fragment.md,,,operator,180,
e-source-policy,E,On-Page Content Production,Citation/Source Policy (Claims & Belege),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-source-policy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-source-policy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-source-policy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-source-policy/v1/prompt_fragment.md,,,operator,180,
e-media-seo,E,On-Page Content Production,Media SEO (Images/Video/Transcripts),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-media-seo/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-media-seo/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-media-seo/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-media-seo/v1/prompt_fragment.md,,,operator,180,
e-a11y-basics,E,On-Page Content Production,SEO-relevante Accessibility Basics (Headings/Alt/Keyboard),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-a11y-basics/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-a11y-basics/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-a11y-basics/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-a11y-basics/v1/prompt_fragment.md,,,operator,180,
e-faq-howto,E,On-Page Content Production,FAQ/HowTo Modules (Content + Eligibility),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-faq-howto/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-faq-howto/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-faq-howto/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-faq-howto/v1/prompt_fragment.md,,,operator,180,
e-ugc-seo-policy,E,On-Page Content Production,"UGC SEO Policy (Kommentare/Foren: Moderation, Indexation, Links)",yes,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-ugc-seo-policy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-ugc-seo-policy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-ugc-seo-policy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-ugc-seo-policy/v1/prompt_fragment.md,,,operator,180,
e-content-syndication-policy,E,On-Page Content Production,"Syndication/Republishing Policy (Duplicate-Kontrolle, Canonicals)",yes,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-syndication-policy/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-syndication-policy/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-syndication-policy/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-content-syndication-policy/v1/prompt_fragment.md,,,operator,180,
e-newsroom-workflow,E,On-Page Content Production,Publisher/Newsroom Workflow,yes,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-newsroom-workflow/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-newsroom-workflow/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-newsroom-workflow/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/e-newsroom-workflow/v1/prompt_fragment.md,,,operator,180,
f-meta-rules,F,Meta & Snippets,Meta Rules per Page Type (Title/Description System),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-meta-rules/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-meta-rules/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-meta-rules/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-meta-rules/v1/prompt_fragment.md,,,operator,180,
f-snippet-tests,F,Meta & Snippets,Snippet Testing & CTR Experiments,no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-snippet-tests/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-snippet-tests/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-snippet-tests/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-snippet-tests/v1/prompt_fragment.md,,,operator,180,
f-og-twitter,F,Meta & Snippets,OpenGraph/Twitter Cards (Social Snippets),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-og-twitter/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-og-twitter/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-og-twitter/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/f-og-twitter/v1/prompt_fragment.md,,,operator,180,
g-global-schema,G,Structured Data (Schema.org JSON-LD),Global Schema (Organization/WebSite/WebPage),no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-global-schema/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-global-schema/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-global-schema/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-global-schema/v1/prompt_fragment.md,,,operator,180,
g-breadcrumb-schema,G,Structured Data (Schema.org JSON-LD),BreadcrumbList Schema,no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-breadcrumb-schema/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-breadcrumb-schema/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-breadcrumb-schema/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-breadcrumb-schema/v1/prompt_fragment.md,,,operator,180,
g-article-schema,G,Structured Data (Schema.org JSON-LD),Article/BlogPosting Schema,no,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-article-schema/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-article-schema/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-article-schema/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-article-schema/v1/prompt_fragment.md,,,operator,180,
g-product-schema,G,Structured Data (Schema.org JSON-LD),Product/Offer Schema,yes,global+tenant,any_content_page,planned,,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-product-schema/v1/topic.md,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-product-schema/v1/rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-product-schema/v1/qa_rules.csv,seo_content_os_scaffold_v4/shared/topics/v1/topics/g-product-schema/v1/prompt_fragment.md,,,operator,180,
